	original_question	original_answer	translated_question	translated_answer	percent_replaced	spanish_vocab	category
682	Que went on una excursión?	Ernest-Arthur Berkeley y Edie	Who went on an outing?	Ernest-Arthur Berkeley and Edie	50.0	['y', 'berkeley']	1

683	Que era ¿reunión?	Furgoneta Mordaz and Fischer	Who was meeting?	Van Teyl and Fischer	75.0	['furgoneta', 'mordaz', 'fischer']	2

684	what did Wawrinka pull ¿apagado?	5-0 and 6-2 en a cuarto set tiebreak	what did Wawrinka pull off?	5-0 and 6-2 in a fourth-set tiebreak	28.57	['en', 'cuarto', 'set']	0

685	Where were el bosque?	al otro lado de the bahía	Where were the woods?	across the bay	66.67	['otro', 'al', 'lado', 'bahía', 'de']	1

686	Was El continuamente ridiculed por el error?	No importa, está hecho y eso es el final. No.	Was he continuously ridiculed for the mistake?	Never mind, it's done and that's the end of it. No.	90.91	['no', 'está', 'hecho', 'eso', 'y', 'es', 'el', 'final', 'importa']	2

687	What is ¿él?	a small, peculiar, box	What is it?	a small, peculiar, box	0.0	[]	0

688	What did Él hace to hacer money	He was a vendedor de periódicos	What did he do to make money	He was a newsboy	50.0	['a', 'periódicos', 'de', 'vendedor']	1

689	Cómo muchos ¿días?	60 días entre 2001 and 2002	How many days?	60 days between 2001 and 2002	83.33	['2001', 'días', '2002', '60', 'entre']	2

690	How did su father respond?	If he gritos nosotros hold him until he is quiet	How did her father respond?	If he cries we hold him until he is quiet	20.0	['nosotros', 'gritos']	0

691	Qué was su diseño named?	the Edificio de Scribner	What was its design named?	the Scribner Building	66.67	['edificio', 'scribner', 'de']	1

692	que jean Kasem ¿tirar?	A trozo de carne	what did Jean Kasem throw?	A hunk of meat	100.0	['carne', 'a', 'trozo', 'de']	2

693	What happened después he died?	a military coup	What happened after he died?	a military coup	0.0	[]	0

694	whathow Muchas calidad son mentioned ?	strength y inteligencia	whathow many qualitys are mentioned ?	strength and intelligence	66.67	['y', 'inteligencia']	1

695	Que fueron el soldgers haciendo Cuando llegaron bajo fuego por indio forces according to Abbas?	moving de uno correo a otro	What were the soldgers doing when they came underfire by Indian forces according to Abbas?	moving from one post to another	83.33	['otro', 'uno', 'a', 'de', 'correo']	2

696	What was she doing?	dashing off postcards	What was she doing?	dashing off postcards	0.0	[]	0

697	What was encontró early en este siglo?	some de esos plants	What was found early in this century?	some of those plants	50.0	['esos', 'de']	1

698	Era él continuando montón up?	la nieve era todavía viene abajo constantemente.	Was it continuing to pile up?	snow was still coming down steadily.	100.0	['abajo', 'la', 'era', 'viene', 'nieve', 'constantemente', 'todavía']	2

699	Where in the cottage?	at the door	Where in the cottage?	at the door	0.0	[]	0

700	What organization es siguiendo el proceedings?	Judicial Información Centro	What organization is following the proceedings?	Judicial Information Center	66.67	['centro', 'información']	1

701	dónde son ellos enviado desde?	Estados Unidos.	where are they sent from?	the United States.	100.0	['unidos', 'estados']	2

702	How did Roger learn it?	From a Mexican slave girl,	How did Roger learn it?	From a Mexican slave girl,	20.0	['a']	0

703	Que was John O'Fallon?	Un miembro de the local business community	Who was John O'Fallon?	A member of the local business community	42.86	['un', 'de', 'miembro']	1

704	Dónde hizo ella corre hacia?	la escuela habitación	Where did she run to?	the school room	100.0	['la', 'escuela', 'habitación']	2

705	How did they know something wasn't right with him?	He was crying	How did they know something wasn't right with him?	He was crying	0.0	[]	0

706	Qué debería tú think if tú eran him?	you're thinking if you want a pay Más atención sobre cómo seguir creciendo that bottom line and keep investors feliz	What should you think if you were him?	you're thinking if you want to pay more attention to how to keep growing that bottom line and keep investors happy	42.86	['más', 'creciendo', 'feliz', 'atención', 'a', 'sobre', 'seguir', 'cómo']	1

707	So, ¿Quién era la fiesta que se acercaba?	Henry de Montfort.	So, who was the approaching party?	Henry de Montfort.	100.0	['montfort', 'henry', 'de']	2

708	What was sent to the area?	tents, blankets and ready-to-eat meals	What was sent to the area?	tents, blankets and ready-to-eat meals	0.0	[]	0

709	Donde the couple reach el siguiente day?	tiny village de Muktinath	where did the couple reach the following day?	tiny village of Muktinath	50.0	['muktinath', 'de']	1

710	Qué es dependent en varios factores?	El exitoso resultado de antimicrobiano terapia	What is dependent on several factors?	The successful outcome of antimicrobial therapy	100.0	['antimicrobiano', 'exitoso', 'terapia', 'resultado', 'el', 'de']	2

711	What did she have a do to become bigger?	eat el cake	What did she have to do to become bigger?	eat the cake	33.33	['el']	0

712	Quien escribió them?	Matthew, Mark, Luke, and John	WHo wrote them?	Matthew, Mark, Luke, and John	40.0	['matthew', 'mark']	1

713	Cuando hizo they comer ¿a ellos?	Cuando tenían home.	When did they eat them?	When they got home.	75.0	['cuando', 'tenían']	2

714	What does el window overlook?	the trees de the park	What does the window overlook?	the trees of the park	20.0	['de']	0

715	Qué hizo he hear?	he heard a Chica grita	What did he hear?	he heard a girl scream	40.0	['grita', 'chica']	1

716	How hizo ella ayudarlos?	Su familia alimentada el nuevo gatos	How did she help them?	Her family fed the new cats	100.0	['nuevo', 'su', 'alimentada', 'gatos', 'el', 'familia']	2

717	what political effect did el war have?	major political changes	what political effect did the war have?	major political changes	0.0	[]	0

718	what was Lúcido confundido about?	the presence of la chica extraña en Uncle John’s party	what was Louise confused about?	the presence of the strange girl in Uncle John’s party	40.0	['la', 'en', 'extraña', 'chica']	1

719	What ¿Hacen los niños en el aldea wear?	sucio, barato ropa	What do the children in the village wear?	dirty, cheap clothes	100.0	['ropa', 'sucio', 'barato']	2

720	What types of businesses are there?	They are ports, shipyards y thriving automobile fabricación industry	What types of businesses are there?	They are ports, shipyards and thriving automobile manufacturing industry	22.22	['fabricación', 'y']	0

721	how does he sentirse a ¿grado?	él calls it una póliza de seguro contra el desempleo y against low wages	how does he feel about a degree?	he calls it an insurance policy against unemployment and against low wages	58.33	['él', 'seguro', 'póliza', 'desempleo', 'de', 'el', 'y', 'una', 'contra']	1

722	Qué hizo Esto ayuda al artículo en logrando?	para obturador/flash sincronización.	What did this aid the item in achieving?	for shutter/flash synchronization.	100.0	['sincronización', 'obturadorflash', 'para']	2

723	What es the source for that information?	U.S. Attorney's Oficina in New York.	What is the source for that information?	U.S. Attorney's Office in New York.	16.67	['oficina']	0

724	which party ¿Los candidatos a unión de comercio respaldados?	el Liberal Fiesta	which party endorsed trade-union candidates?	the Liberal Party	66.67	['fiesta', 'el']	1

725	cómo es definido?	sistema de muchas estructuras biológicas	how is it defined?	system of many biological structures	100.0	['biológicas', 'muchas', 'de', 'estructuras', 'sistema']	2

726	what eran the drugs?	Adderall, Xanax, ecstasy and oxycodone	what were the drugs?	Adderall, Xanax, ecstasy and oxycodone	0.0	[]	0

727	que era Lister used to?	esqueleto alto trestles	what was Lister used to?	tall skeleton trestles	66.67	['esqueleto', 'alto']	1

728	Que demás era invited?	el jefe funcionarios del firm	who else was invited?	the chief officials of the firm	83.33	['funcionarios', 'del', 'jefe', 'el']	2

729	what was he afraid of?	to look out of the window	what was he afraid of?	to look out of the window	0.0	[]	0

730	Why no él se queda home?	Su mother thought El podría ir a school	Why didn't he stay home?	His mother thought he could go to school	62.5	['su', 'a', 'el', 'ir', 'podría']	1

731	¿Dónde aterrizó?	Newark Libertad Internacional Airport	Where did it land?	Newark Liberty International Airport	75.0	['internacional', 'libertad', 'newark']	2

732	When did it ganar independence?	1 January 1993.	When did it gain independence?	1 January 1993.	33.33	['1993']	0

733	Qué were Paphaelle's ¿Sujetos?	still lives de flores, fruta, and cheese	What were Paphaelle's subjects?	still lives of flowers, fruit, and cheese	42.86	['fruta', 'flores', 'de']	1

734	Qué es la Corte Suprema del Unido ¿Reino?	su más alto tribunal de apelación civil de los unidos Kingdom	What is the Supreme Court of the United Kingdom?	its highest civil appeal court of the United Kingdom	88.89	['más', 'civil', 'su', 'alto', 'unidos', 'los', 'apelación', 'tribunal', 'de']	2

735	Qué was Sheila told she should advise Joleen ¿hacer?	advise her a see a doctor soon	What was Sheila told she should advise Joleen to do?	advise her to see a doctor soon	14.29	['a']	0

736	Who are su ¿abuelos?	King George VI y Reina Isabel	Who are his grandparents?	King George VI and Queen Elizabeth	66.67	['y', 'george', 'isabel', 'reina']	1

737	Cuando fue el tratado de Frankfurt firmado?	10 de mayo 1871	When was the Treaty of Frankfurt signed?	10 May 1871	100.0	['mayo', '10', 'de', '1871']	2

738	After what ¿evento?	después de la Gulf of Tonkin Incident	After what event?	after the Gulf of Tonkin Incident	33.33	['la', 'de', 'después']	0

739	Who estaba con Margaret?	Daisy y Tom	Who was with Margaret?	Daisy and Tom	66.67	['y', 'tom']	1

740	Y ¿Cuál era el nombre del testigo?	Kamal Abu Safaka	"And what was the witness""s name?"	Kamal Abu Safaka	100.0	['safaka', 'kamal', 'abu']	2

741	What hizo her abuela fix her?	a ham sándwich with no cheese	What did her grandmother fix her?	a ham sandwich with no cheese	33.33	['a', 'sándwich']	0

742	What does he desear to ¿A continuación?	ir a the olympics	What does he want to do next?	go to the olympics	50.0	['ir', 'a']	1

743	Por qué Papá venderlo?	Para pagar el alquilar	Why did Dad sell him?	to pay the rent	100.0	['para', 'alquilar', 'pagar', 'el']	2

744	When was the 50th COI session?	June 15, 1955	When was the 50th IOC session?	June 15, 1955	0.0	[]	0

745	Qué is the tema de this article?	El Nuevo Testament	What is the topic of this article?	The New Testament	66.67	['nuevo', 'el']	1

746	Que hizo el want?	Williams a ir consigo	What did he want?	Williams to go with him	80.0	['consigo', 'ir', 'a']	2

747	To hacer what?	to see su sister	To do what?	to see her sister	25.0	['su']	0

748	what un poco clima does it have?	a tropical climate	what kind of climate does it have?	a tropical climate	66.67	['a', 'tropical']	1

749	Que eligió eso ¿color?	Fundador Charles Lewis Tiffany.	Who chose that color?	Founder Charles Lewis Tiffany.	75.0	['charles', 'tiffany', 'fundador']	2

750	Where was Elsie walking ¿a?	Elsie, caminando homeward	Where was Elsie walking to?	Elsie, walking homeward	33.33	['caminando']	0

751	What es UDHR?	The Declaración universal de Human Rights	What is UDHR?	The Universal Declaration of Human Rights	50.0	['declaración', 'de', 'universal']	1

752	qué did él Aprenda sobre el children?	they eran traficado niños	what did he learn about the children?	they were trafficked children	75.0	['eran', 'niños', 'traficado']	2

753	And who era he?	the establecimiento contributor	And who was he?	the founding contributor	33.33	['establecimiento']	0

754	Que hizo él adoctrinar Gerald with?	his ideas de un deportista	What did he indoctrinate Gerald with?	his ideas of a sportsman	60.0	['un', 'deportista', 'de']	1

755	Qué de lo contrario, los individuos discutieron los planes to do?	Asesinar el presidente.	What else did the individuals discuss plans to do?	Assassinate the President.	100.0	['presidente', 'asesinar', 'el']	2

756	Qué were the charges on them?	perjury and failing to informar un supuesto sexual assault de a child	What were the charges on them?	perjury and failing to report an alleged sexual assault of a child	33.33	['informar', 'un', 'de', 'supuesto']	0

757	How muchos años era el sentence?	vida en prison	How many years was the sentence?	life in prison	66.67	['en', 'vida']	1

758	What era el nombre de Darwin's book?	En el Origen de Especies	What was the name of Darwin's book?	On the Origin of Species	100.0	['origen', 'especies', 'el', 'de', 'en']	2

759	what is the name of the chapter?	Marshall Haney Cambios Heart	what is the name of the chapter?	Marshall Haney Changes Heart	25.0	['cambios']	0

760	How mucho hace he trabajar ¿afuera?	cuando él can	How much does he work out?	when he can	66.67	['cuando', 'él']	1

761	Que esta ¿decir?	Él dice eso sistemas de clasificación para universidades y Las universidades son un Gran parte del problema.	What does he say?	He says that ranking systems for colleges and universities are a big part of the problem.	100.0	['para', 'problema', 'universidades', 'del', 'las', 'dice', 'parte', 'eso', 'gran', 'un', 'de', 'clasificación', 'y', 'sistemas', 'él', 'son']	2

762	So how did they get to 26.2?	1908 Olympic Games in London	So how did they get to 26.2?	1908 Olympic Games in London	0.0	[]	0

763	who ¿Llevaban los caminantes?	Jake and Elwood	who wore Wayfarers?	Jake and Elwood	66.67	['jake', 'elwood']	1
